fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
59.9112,16.6914,28.9216,0,81,67,66,1756,875,6.93327,78,4.54937,0,2.32903,4339,86315163269
59.6097,16.7758,31.6393,0,80,67,66,1517,875,6.96865,72,4.53805,0,2.31555,4326,87315218826
59.8763,16.7011,30.4348,0,81,67,65,1804,875,7.0344,72,4.50997,0,2.28228,4316,88315270396
59.8211,16.7165,28.5484,0,81,67,66,1589,875,7.00315,79,4.50718,0,2.2804,4316,89315328758
59.8359,16.7124,28.6634,0,83,67,66,1382,875,7.00362,77,4.50373,0,2.28056,4318,90315376972
59.7968,16.7233,28.5251,0,83,67,66,1498,875,7.04872,85,4.50151,0,2.28111,4339,91315430124
59.7263,16.7431,28.0467,0,84,67,66,1503,875,7.04098,86,4.49928,0,2.28692,4331,92315482455
59.7208,16.7446,28.013,0,84,67,67,1472,875,7.07143,90,4.49743,0,2.2977,4316,93315535738
59.8328,16.7132,29.4023,0,84,67,67,1763,875,7.06377,89,4.47331,0,2.27642,4316,94315589622
60.074,16.6461,28.9474,0,82,67,67,1634,875,7.04741,86,4.47239,0,2.28067,4338,95315644427
59.9103,16.6916,28.5714,0,87,67,67,1682,875,7.037,94,4.47226,0,2.28077,4316,96315703351
59.7606,16.7334,29.8077,0,86,67,67,1645,875,7.02952,93,4.47024,0,2.2812,4316,97315757255
59.8604,16.7055,28.9298,0,85,67,67,1543,875,7.02375,92,4.46794,0,2.28128,4340,98315812131
59.887,16.6981,29.2407,0,84,67,67,1581,875,7.0243,90,4.46775,0,2.2815,4342,99315865814
59.7918,16.7247,29.2407,0,85,67,67,1741,875,7.02494,91,4.46731,0,2.28162,4316,100315919979
59.7735,16.7298,29.9674,0,81,67,67,1380,875,6.89062,77,4.4695,0,2.28562,4316,101315974824
59.9425,16.6827,30.6581,0,80,67,67,1456,875,6.89085,77,4.46782,0,2.28406,4320,102316030241
59.8933,16.6964,29.8387,0,83,68,67,1485,875,6.88763,78,4.46981,0,2.28598,4317,103316083283
58.3759,17.1304,29.7659,0,82,68,67,1421,875,6.91927,79,4.47311,0,2.28875,4316,104316135504
59.7406,16.739,33.9837,0,86,68,67,1391,875,6.94938,85,4.4922,0,2.29068,4341,105316192153
59.7255,16.7433,31.2298,0,83,68,67,1315,875,6.89604,84,4.49383,0,2.28817,4316,106316248121
59.8671,16.7037,37.7023,0,82,68,67,1513,875,6.99055,82,4.5865,0,2.33159,4316,107316303338
59.9038,16.6934,31.3409,0,83,68,67,1730,875,7.01376,82,4.58247,0,2.3307,4316,108316357111
59.8647,16.7043,30.21,0,82,68,67,1737,875,7.04469,82,4.58197,0,2.33378,4316,109316400926
59.8657,16.704,29.7386,0,82,68,67,1734,875,6.97552,82,4.57281,0,2.33327,4316,110316454800
59.7925,16.7245,30.1347,0,83,68,67,1528,875,6.98417,83,4.5609,0,2.33063,4317,111316507101
59.7761,16.7291,34.7967,0,85,68,67,1679,875,7.00686,89,4.60481,0,2.37737,4316,112316560264
59.8266,16.715,36.953,0,87,68,67,1608,875,7.07848,91,4.60406,0,2.36887,4291,113316620079
59.8252,16.7154,31.7152,0,83,68,67,1566,875,7.07333,82,4.58296,0,2.34974,4341,114316662802
59.8914,16.6969,29.0113,0,82,68,67,1412,875,6.92801,81,4.58239,0,2.34851,4316,115316718750
59.8626,16.7049,29.4599,0,82,68,67,1335,875,6.93779,79,4.5718,0,2.34826,4316,116316771351
58.5567,17.0775,30.5648,0,81,68,67,1724,875,7.06564,86,4.57407,0,2.34713,4316,117316827219
60.7496,16.461,31.9936,0,83,68,67,1545,875,7.0927,82,4.56968,0,2.35855,4316,118316881373
60.3622,16.5667,32.0786,0,83,68,68,1717,875,7.06553,84,4.56688,0,2.34974,4365,119316933644
60.1441,16.6267,34.6906,0,82,68,67,1448,875,7.06585,83,4.57373,0,2.36646,4282,120316981026
60.1025,16.6382,30.0813,0,80,68,67,1435,875,7.0346,76,4.57154,0,2.3613,4321,121317036924
60.1149,16.6348,30.0485,0,82,68,67,1642,875,7.00335,78,4.57132,0,2.35691,4317,122317094023
60.147,16.6259,33.0645,0,83,68,68,1710,875,7.12054,86,4.54216,0,2.33939,4316,123317150021
60.0438,16.6545,31.664,0,86,68,68,1707,875,7.08611,91,4.57359,0,2.35378,4316,124317202813
60.3456,16.5712,30.1303,0,82,68,68,1605,875,7.08662,83,4.57661,0,2.35421,4316,125317263129
60.0866,16.6426,29.5455,0,83,68,68,1527,875,7.17647,82,4.57605,0,2.35149,4310,126317306503
60.0335,16.6574,54.5008,0,82,68,68,1494,875,7.23232,79,4.67893,0,2.41635,4291,127317359676
60.0431,16.6547,33.0113,0,81,68,68,1448,875,7.22362,77,4.68267,0,2.416,4316,128317420573
60.1261,16.6317,30,0,81,68,67,1441,875,7.26653,77,4.66695,0,2.41111,4316,129317496038
60.1039,16.6379,31.0518,0,80,68,67,1271,875,7.28304,73,4.6555,0,2.40979,4316,130317550392
59.9994,16.6668,38.6667,0,80,68,67,1585,875,7.28716,73,4.66147,0,2.43235,4284,131317607182
60.1833,16.6159,33.1658,0,79,68,67,1365,875,7.40606,71,4.69046,0,2.43736,4316,132317672597
60.0385,16.656,31.3694,0,78,68,67,1567,875,7.30524,64,4.69071,0,2.43002,4316,133317728154
60.0515,16.6524,30.4202,0,80,68,67,1559,875,7.30462,68,4.67779,0,2.42823,4297,134317812816
59.929,16.6864,34.0033,0,80,68,67,1666,875,7.40135,72,4.62375,0,2.40142,4269,135317871990
60.1521,16.6245,32.2476,0,81,68,67,1702,875,7.35178,79,4.63577,0,2.39791,4316,136317931705
60.1844,16.6156,30.4839,0,81,68,68,1622,875,7.35512,77,4.64285,0,2.41138,4316,137317977373
60.1111,16.6359,31.3002,0,79,68,67,1431,875,7.41961,61,4.64466,0,2.40562,4316,138318028482
60.1198,16.6335,28.7879,0,80,68,66,1150,875,7.38118,55,4.63877,0,2.39349,4316,139318079791
60.0174,16.6618,32.1951,0,79,68,66,1174,875,7.41334,54,4.62968,0,2.39616,4338,140318133835
60.0027,16.6659,29.8532,0,79,68,66,1215,875,7.4302,55,4.61806,0,2.39325,4316,141318186317
60.0752,16.6458,29.9674,0,79,68,66,1257,875,7.4973,56,4.60322,0,2.38729,4293,142318232556
60.1443,16.6267,28.7854,0,79,68,66,1271,875,7.47891,56,4.59607,0,2.37879,4316,143318289135
60.0209,16.6609,28.5714,0,79,68,66,1214,875,7.48013,56,4.59245,0,2.37772,4316,144318341927
60.1162,16.6345,29.4118,0,79,68,66,1167,875,7.48128,54,4.59072,0,2.37962,4319,145318395270
60.0361,16.6567,31.759,0,78,68,66,1375,875,7.5361,56,4.60118,0,2.40135,4338,146318453021
60.1151,16.6348,29.4686,0,79,68,66,1300,875,7.54959,57,4.60246,0,2.39477,4310,147318514429
60.1223,16.6328,32.6861,0,79,68,66,1417,875,7.56306,61,4.58011,0,2.37066,4298,148318575487
60.0804,16.6444,29.6117,0,81,68,67,1455,875,7.58824,74,4.57589,0,2.3694,4315,149318626926
60.1245,16.6322,30.5141,0,81,68,67,1432,875,7.72721,79,4.57447,0,2.36525,4316,150318691270
61.1392,16.3561,30.5648,0,80,68,67,1298,875,7.73654,74,4.56626,0,2.3328,4316,151318758038
60.1712,16.6192,32.7896,0,82,68,67,1608,875,7.80964,79,4.56952,0,2.34254,4317,152318810249
60.078,16.645,29.1935,0,83,68,67,1337,875,7.7907,85,4.57387,0,2.34882,4316,153318866056
