os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 5 5600G with Radeon Graphics,AMD Radeon RX 5500 XT (RADV NAVI14),16211312,7.0.10-1-cachyos,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
59.9742,16.6738,33.0551,0,98,56,74,1849,875,3.9527,102,5.78916,0,3.6022,4367,119278368529
60.108,16.6367,32.0786,0,98,56,74,1850,875,3.9527,103,5.79141,0,3.60681,4352,120278553310
59.8771,16.7009,28.5016,0,99,56,74,1849,875,3.95285,103,5.79506,0,3.60979,4403,121278629827
60.3644,16.566,30.8562,0,95,57,74,1851,875,3.953,101,5.83869,0,3.61898,4410,122278703981
59.3312,16.8545,29.2642,0,96,57,74,1850,875,3.95293,102,5.83547,0,3.56883,4396,123278778434
59.7724,16.7301,30.7443,0,92,57,74,1836,875,3.95293,100,5.81457,0,3.5234,4341,124278852618
60.203,16.6105,27.8232,0,93,57,74,1846,875,3.95293,101,5.76513,0,3.5085,4441,125278928484
59.9711,16.6747,31.0569,0,93,57,74,1850,875,3.95308,100,5.73069,0,3.51082,4363,126279007977
59.8739,16.7018,30.8065,0,98,57,74,1848,875,3.95308,103,5.71881,0,3.5056,4361,127279087891
60.2148,16.6072,28.4526,0,95,57,74,1850,875,3.95308,102,5.71086,0,3.50111,4366,128279160862
60.2039,16.6102,28.5714,0,95,57,74,1829,875,3.95308,102,5.70651,0,3.50228,4391,129279244954
60.0981,16.6395,29.4215,0,92,57,74,1840,875,3.95308,100,5.70398,0,3.50484,4392,130279320790
60.0689,16.6475,28.8052,0,91,57,74,1822,875,3.96136,100,5.70576,0,3.5104,4391,131279398019
60.153,16.6243,29.8701,0,94,57,74,1848,875,3.96213,101,5.71116,0,3.46297,4392,132279475288
61.4448,16.2748,33.1104,0,94,57,74,1847,875,3.96213,102,5.7327,0,3.45157,4366,133279554581
59.9464,16.6816,28.7854,0,91,57,74,1802,875,3.96213,101,5.69864,0,3.45218,4414,134279635998
59.8639,16.7046,27.5578,0,90,57,74,1751,875,3.96213,101,5.65838,0,3.45265,4395,135279719148
59.9213,16.6886,26.9036,0,88,57,74,1819,875,3.96213,99,5.65088,0,3.45053,4391,136279794072
60.0337,16.6573,27.395,0,87,57,74,1734,875,3.96213,98,5.65164,0,3.45288,4391,137279872153
60.0321,16.6578,28.0899,0,86,57,74,1701,875,3.96213,97,5.65097,0,3.45314,4391,138279946667
60.1213,16.633,28.0672,0,91,57,74,1811,875,3.95409,102,5.65151,0,3.45496,4393,139280021160
59.3094,16.8607,25.8389,0,90,57,75,1833,875,3.95384,101,5.65151,0,3.46344,4416,140280096175
59.4034,16.834,28.1879,0,91,57,74,1777,875,3.95384,101,5.6565,0,3.46899,4416,141280179445
60.5902,16.5043,30.0493,0,85,57,74,1515,875,3.95384,91,5.70113,0,3.47286,4353,142280259750
58.9943,16.9508,27.2269,0,87,57,74,1678,875,3.9543,95,5.71142,0,3.48136,4366,143280327000
59.4129,16.8314,29.1262,0,96,57,74,1849,875,3.9543,103,5.67253,0,3.47596,4441,144280405602
60.0688,16.6476,29.0997,0,91,57,75,1819,875,3.9543,100,5.68596,0,3.47778,4391,145280481699
59.6625,16.761,29.4976,0,90,57,75,1819,875,3.95447,100,5.68514,0,3.47945,4416,146280558326
59.6068,16.7766,26.699,0,89,57,74,1768,875,3.95444,96,5.68154,0,3.48011,4391,147280626027
59.5358,16.7966,29.1465,0,86,57,74,1850,875,3.95469,92,5.6801,0,3.47662,4391,148280693298
